src_ip,src_port,dest_ip,dest_port,proto,start_time,flow_alerted
65.54.95.66,80,192.168.3.131,56505,tcp,1295981735,True
192.168.3.131,56048,66.220.149.32,80,tcp,1295981735,True
192.168.3.131,52400,192.168.3.99,161,udp,1295981744,True
204.14.234.85,443,192.168.3.131,57243,tcp,1295981760,True
204.14.234.85,8443,192.168.3.131,57243,tcp,1295981760,True
204.14.234.85,443,192.168.3.131,57244,tcp,1295981761,True
204.14.234.85,8443,192.168.3.131,57244,tcp,1295981761,True
65.54.186.19,5443,10.0.2.15,2526,tcp,1295981765,True
207.46.113.78,5443,10.0.2.15,2542,tcp,1295981773,True
10.0.2.15,2543,65.55.116.184,5480,tcp,1295981774,True
10.0.2.15,2544,207.46.113.78,5443,tcp,1295981774,True
207.46.113.78,5443,10.0.2.15,2544,tcp,1295981774,True
192.168.3.131,49206,174.36.30.111,80,tcp,1295981780,True
192.168.3.131,49206,174.36.30.111,5480,tcp,1295981780,True
208.82.236.129,80,192.168.3.131,58788,tcp,1295981782,True
204.14.234.85,443,192.168.3.131,57245,tcp,1295981790,True
204.14.234.85,443,192.168.3.131,57246,tcp,1295981790,True
204.14.234.85,8443,192.168.3.131,57245,tcp,1295981790,True
204.14.234.85,8443,192.168.3.131,57246,tcp,1295981790,True
10.0.2.15,2551,70.37.129.34,5480,tcp,1295981795,True
204.14.234.85,443,192.168.3.131,57248,tcp,1295981799,True
204.14.234.85,443,192.168.3.131,57247,tcp,1295981799,True
204.14.234.85,8443,192.168.3.131,57248,tcp,1295981799,True
204.14.234.85,8443,192.168.3.131,57247,tcp,1295981799,True
208.82.236.129,80,192.168.3.131,58830,tcp,1295981801,True
172.16.255.1,0,67.215.65.132,0,icmp,1295981805,True
67.215.65.132,0,172.16.255.1,0,icmp,1295981805,True
10.0.2.15,2553,70.37.129.34,5480,tcp,1295981820,True
172.16.255.1,63802,239.255.255.250,1900,udp,1295981834,True
204.14.234.85,443,192.168.3.131,57249,tcp,1295981835,True
204.14.234.85,8443,192.168.3.131,57249,tcp,1295981835,True
66.235.136.89,443,192.168.3.131,57250,tcp,1295981838,True
66.235.136.89,8443,192.168.3.131,57250,tcp,1295981838,True
