,Latency,CPU_Usage_zeek,Memory_Usage_zeek,Drop_Rate_zeek,Packet_Analysis_Rate_zeek,Total_Packets_Sent_zeek,CPU_Usage_suricata,Memory_Usage_suricata,Drop_Rate_suricata,Packet_Analysis_Rate_suricata,Total_Packets_Sent_suricata,CPU_Usage_snort,Memory_Usage_snort,Drop_Rate_snort,Packet_Analysis_Rate_snort,Total_Packets_Sent_snort
0,2,,,0.0,17.2,1031.0,,,0.0,16.733333333333334,1005.0,,,0.0,16.75,1004.0
1,4,,,0.0,17.2,1031.0,,,0.0,16.733333333333334,1005.0,,,0.0,16.733333333333334,1004.0
2,8,,,0.0,17.133333333333333,1031.0,,,0.0,16.733333333333334,1005.0,,,0.0,16.733333333333334,1004.0
3,16,,,0.0,17.166666666666668,1031.0,,,0.0,16.716666666666665,1005.0,15.6,3.1,0.0,16.733333333333334,1004.0
4,32,,,0.0,17.166666666666668,1031.0,,,0.0,16.716666666666665,1005.0,15.4,3.1,0.0,16.75,1004.0
5,64,,,0.0,17.15,1031.0,,,0.0,16.716666666666665,1005.0,,,0.0,16.75,1004.0
6,128,,,0.0,17.216666666666665,1031.0,14.4,7.2,0.0,16.733333333333334,1005.0,,,0.0,16.75,1004.0
7,256,,,0.0,17.183333333333334,1031.0,,,0.0,16.75,1005.0,,,0.0,16.733333333333334,1004.0
